Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
h	0.001	2.05e-10	0.00689655172413793
o	0.016	2.75e-10	0.0125
co	0.028	3.698e-10	0.00956937799043062
ch3oh	0.032	3.626e-10	0.0020755500207555
c3h4-p	0.04	4.667e-10	0.00351246926589392
ch3co	0.043	3.97e-10	0.00229357798165138
c3h8	0.044	5.114e-10	0.00421585160202361
c2h5oh	0.046	4.41e-10	0.00212494687632809
c4h71-4	0.055	4.65e-10	0.0028169014084507
c4h8-1	0.056	5.274e-10	0.00330687830687831
pc4h9	0.057	5.405e-10	0.00327868852459016
c4h10	0.058	5.206e-10	0.00284981476204047
nc3h7o	0.059	4.997e-10	0.00207684319833853
o2cho	0.061	3.97e-10	0.00229357798165138
c5h81-3	0.068	5.33e-10	0.00222380359366661
sc3h5co	0.069	5.009e-10	0.002154243860405
ac5h10	0.07	5.532e-10	0.00258665287118469
dc5h11	0.071	5.041e-10	0.00226893711640782
ch3chcoch3	0.071	5.04e-10	0.00226971474225119
c3h6cho-3	0.071	5.009e-10	0.002154243860405
c4h8o2-3	0.072	5.2e-10	0.00201612903225806
ch3coch2o	0.073	5.086e-10	0.00223394297637159
ac3h5ooh	0.074	4.997e-10	0.00207684319833853
c3h6ooh1-3	0.075	4.662e-10	0.00229779411764706
ch3och2o2h	0.078	4.037e-10	0.00253164556962025
c6h111-4	0.083	5.85e-10	0.00236183278223902
c4h6cho1-44	0.083	5.306e-10	0.00207326503998292
c4h7cho1-1	0.084	5.778e-10	0.00210084033613445
dc6h12	0.084	5.872e-10	0.00241312741312741
tc4h8cho	0.085	5.348e-10	0.00204463854879734
c5h9o2-4	0.085	5.664e-10	0.00191131498470948
c2h5coc2h4p	0.085	5.348e-10	0.00204463854879734
c5h10o1-2	0.086	5.664e-10	0.00191131498470948
c5h11o-3	0.087	5.664e-10	0.00191131498470948
c4h8ooh1-4	0.089	5.2e-10	0.00201612903225806
ic4h8o2h-t	0.089	5.356e-10	0.00199123855037834
